No,building_name,category,prefecture,city,station_num,station,method,time,age,total_stairs,stairs,layout,room_num,space,south,corner,rent,unit_price,url
25,C-LUX,アパート,神奈川県,川崎市幸区,3,鹿島田,walk,7,0,3,3,1R,1,16.37,1,1,72000,4398.2895540623085,https://sumaity.com/chintai/kanagawa_prop/prop_288097027/
26,C-LUX,アパート,神奈川県,川崎市幸区,3,鹿島田,walk,7,0,3,3,1K,1,16.66,1,1,72000,4321.728691476591,https://sumaity.com/chintai/kanagawa_prop/prop_287755509/
27,C-LUX,アパート,神奈川県,川崎市幸区,3,鹿島田,walk,7,0,3,3,1R,1,15.7,1,1,72000,4585.987261146497,https://sumaity.com/chintai/kanagawa_prop/prop_287834699/
28,C-LUX,アパート,神奈川県,川崎市幸区,3,鹿島田,walk,7,0,3,2,1K,1,16.66,1,0,70000,4201.680672268907,https://sumaity.com/chintai/kanagawa_prop/prop_287758067/
29,C-LUX,アパート,神奈川県,川崎市幸区,3,鹿島田,walk,7,0,3,1,1R,1,16.37,1,1,67000,4092.8527794746483,https://sumaity.com/chintai/kanagawa_prop/prop_288002227/
30,C-LUX,アパート,神奈川県,川崎市幸区,3,鹿島田,walk,7,0,3,1,1K,1,16.66,1,1,67000,4021.608643457383,https://sumaity.com/chintai/kanagawa_prop/prop_287756247/
31,C-LUX,アパート,神奈川県,川崎市幸区,3,鹿島田,walk,7,0,3,1,1R,1,16.66,1,1,67000,4021.608643457383,https://sumaity.com/chintai/kanagawa_prop/prop_287835031/
32,サンハイムツルミ,マンション,神奈川県,横浜市鶴見区,1,矢向,walk,5,33,3,2,1K,1,20.41,1,1,56000,2743.7530622244,https://sumaity.com/chintai/kanagawa_prop/prop_278307879/
33,サンハイムツルミ,マンション,神奈川県,横浜市鶴見区,1,矢向,walk,5,33,3,1,1K,1,20.41,1,1,58000,2841.744243018128,https://sumaity.com/chintai/kanagawa_prop/prop_280458327/
34,サンハイムツルミ,マンション,神奈川県,横浜市鶴見区,1,矢向,walk,5,33,3,1,1K,1,20.41,1,0,58000,2841.744243018128,https://sumaity.com/chintai/kanagawa_prop/prop_280732382/
35,エル・セクストハイム下河原,マンション,神奈川県,川崎市幸区,2,鹿島田,walk,11,12,2,1,1R,1,24.32,1,1,79000,3248.3552631578946,https://sumaity.com/chintai/kanagawa_prop/prop_287904649/
36,サンハイツユタカ,マンション,神奈川県,横浜市鶴見区,3,矢向,walk,15,29,4,3,1R,1,21.6,0,0,60000,2777.7777777777774,https://sumaity.com/chintai/kanagawa_prop/prop_278133546/
37,ユナイトステージ下平間,アパート,神奈川県,川崎市幸区,1,鹿島田,walk,13,14,2,1,1R,1,13.42,1,1,57500,4284.649776453055,https://sumaity.com/chintai/kanagawa_prop/prop_280999939/
38,アクアドルフィン,アパート,神奈川県,川崎市幸区,2,鹿島田,walk,10,12,2,1,1K,1,19.87,1,1,68000,3422.24458983392,https://sumaity.com/chintai/kanagawa_prop/prop_276449773/
39,アンジェラコート平間,アパート,神奈川県,川崎市中原区,1,平間,walk,6,9,2,1,1R,1,11.0,0,1,57500,5227.272727272727,https://sumaity.com/chintai/kanagawa_prop/prop_285067423/
40,ダイアパレス鹿島田,マンション,神奈川県,川崎市幸区,2,鹿島田,walk,4,33,8,4,1R,1,20.19,0,1,65000,3219.4155522535907,https://sumaity.com/chintai/kanagawa_prop/prop_263901017/
41,スカイアークフロント,マンション,神奈川県,川崎市幸区,3,川崎,bus,11,8,6,6,1R,1,26.91,0,1,82000,3047.1943515421776,https://sumaity.com/chintai/kanagawa_prop/prop_268050014/
42,パルポート鶴見,マンション,神奈川県,横浜市鶴見区,3,矢向,walk,5,31,5,3,1K,1,18.32,0,0,56000,3056.768558951965,https://sumaity.com/chintai/kanagawa_prop/prop_285866127/
43,パルポート鶴見,マンション,神奈川県,横浜市鶴見区,3,矢向,walk,5,31,5,3,1K,1,18.32,1,0,56000,3056.768558951965,https://sumaity.com/chintai/kanagawa_prop/prop_285796789/
44,パルポート鶴見,マンション,神奈川県,横浜市鶴見区,3,矢向,walk,5,31,5,2,1K,1,18.32,0,0,54000,2947.598253275109,https://sumaity.com/chintai/kanagawa_prop/prop_285254495/
45,パルポート鶴見,マンション,神奈川県,横浜市鶴見区,3,矢向,walk,5,31,5,2,1K,1,18.32,0,0,54000,2947.598253275109,https://sumaity.com/chintai/kanagawa_prop/prop_285796879/
46,パルポート鶴見,マンション,神奈川県,横浜市鶴見区,3,矢向,walk,5,31,5,2,1K,1,18.32,1,0,54000,2947.598253275109,https://sumaity.com/chintai/kanagawa_prop/prop_285745659/
47,フラワーハイツ,マンション,神奈川県,川崎市幸区,3,平間,walk,8,27,3,1,1K,1,20.09,0,1,61000,3036.336485813838,https://sumaity.com/chintai/kanagawa_prop/prop_287512039/
48,ユナイト鹿島田ホワイトジャスミン,アパート,神奈川県,川崎市幸区,1,鹿島田,walk,9,2,2,2,1R,1,11.1,0,0,59500,5360.360360360361,https://sumaity.com/chintai/kanagawa_prop/prop_274431594/
49,コンフォート．Ｍ,アパート,神奈川県,川崎市幸区,1,鹿島田,walk,19,16,2,1,1K,1,26.37,0,1,67000,2540.7660219946906,https://sumaity.com/chintai/kanagawa_prop/prop_286462679/
50,コーポ高橋,マンション,神奈川県,川崎市幸区,2,新川崎,walk,4,40,2,2,1DK,1,25.0,0,1,58000,2320.0,https://sumaity.com/chintai/kanagawa_prop/prop_281752691/
51,ベルサイユ川崎,マンション,神奈川県,川崎市幸区,1,矢向,walk,5,34,4,4,1K,1,20.21,0,1,58000,2869.8664027709056,https://sumaity.com/chintai/kanagawa_prop/prop_286383977/
52,ハミングバード,アパート,神奈川県,川崎市中原区,2,平間,walk,3,7,2,1,1K,1,20.0,0,0,73000,3650.0,https://sumaity.com/chintai/kanagawa_prop/prop_273921177/
53,ハミングバード,アパート,神奈川県,川崎市中原区,2,平間,walk,3,7,2,1,1K,1,20.0,0,0,73000,3650.0,https://sumaity.com/chintai/kanagawa_prop/prop_271670527/
54,ロフティー多摩川,アパート,神奈川県,川崎市中原区,2,平間,walk,7,12,2,1,1K,1,16.59,0,1,67000,4038.5774562989754,https://sumaity.com/chintai/kanagawa_prop/prop_286729283/
55,インプレス蒲田（impress,マンション,東京都,足立区,2,京急蒲田,walk,6,9,4,1,1K,1,25.68,1,0,98000,3816.1993769470405,https://sumaity.com/chintai/tokyo_prop/prop_287968173/
56,クレヴァンス川崎鹿島田,マンション,神奈川県,川崎市幸区,2,鹿島田,walk,12,5,10,6,1K,1,20.44,0,1,75000,3669.275929549902,https://sumaity.com/chintai/kanagawa_prop/prop_285467403/
57,Wing Route,マンション,神奈川県,川崎市幸区,2,矢向,walk,12,9,10,9,1K,1,26.43,0,0,89000,3367.3855467272037,https://sumaity.com/chintai/kanagawa_prop/prop_285102037/
58,グレース川崎IV,マンション,神奈川県,川崎市幸区,2,尻手,walk,4,0,8,8,1K,1,25.5,1,1,98000,3843.1372549019607,https://sumaity.com/chintai/kanagawa_prop/prop_286963707/
59,グレース川崎IV,マンション,神奈川県,川崎市幸区,2,尻手,walk,4,0,8,8,1K,1,25.5,1,1,98000,3843.1372549019607,https://sumaity.com/chintai/kanagawa_prop/prop_286963711/
60,グレース川崎IV,マンション,神奈川県,川崎市幸区,2,尻手,walk,4,0,8,8,1K,1,25.5,1,0,98000,3843.1372549019607,https://sumaity.com/chintai/kanagawa_prop/prop_286963719/
61,グレース川崎IV,マンション,神奈川県,川崎市幸区,2,尻手,walk,4,0,8,8,1K,1,25.5,1,1,98000,3843.1372549019607,https://sumaity.com/chintai/kanagawa_prop/prop_286963709/
62,グレース川崎IV,マンション,神奈川県,川崎市幸区,2,尻手,walk,4,0,8,7,1K,1,25.5,1,1,98000,3843.1372549019607,https://sumaity.com/chintai/kanagawa_prop/prop_286638169/
63,グレース川崎IV,マンション,神奈川県,川崎市幸区,2,尻手,walk,4,0,8,7,1K,1,25.5,1,1,98000,3843.1372549019607,https://sumaity.com/chintai/kanagawa_prop/prop_286638143/
64,グレース川崎IV,マンション,神奈川県,川崎市幸区,2,尻手,walk,4,0,8,7,1K,1,25.5,1,0,98000,3843.1372549019607,https://sumaity.com/chintai/kanagawa_prop/prop_286638161/
65,グレース川崎IV,マンション,神奈川県,川崎市幸区,2,尻手,walk,4,0,8,7,1K,1,25.5,1,1,98000,3843.1372549019607,https://sumaity.com/chintai/kanagawa_prop/prop_286638163/
66,グレース川崎IV,マンション,神奈川県,川崎市幸区,2,尻手,walk,4,0,8,6,1K,1,25.5,1,1,97000,3803.921568627451,https://sumaity.com/chintai/kanagawa_prop/prop_286638149/
67,グレース川崎IV,マンション,神奈川県,川崎市幸区,2,尻手,walk,4,0,8,6,1K,1,25.5,1,1,97000,3803.921568627451,https://sumaity.com/chintai/kanagawa_prop/prop_286638155/
68,グレース川崎IV,マンション,神奈川県,川崎市幸区,2,尻手,walk,4,0,8,6,1K,1,25.5,1,0,97000,3803.921568627451,https://sumaity.com/chintai/kanagawa_prop/prop_286638127/
69,グレース川崎IV,マンション,神奈川県,川崎市幸区,2,尻手,walk,4,0,8,6,1K,1,25.5,1,1,97000,3803.921568627451,https://sumaity.com/chintai/kanagawa_prop/prop_286638165/
70,グレース川崎IV,マンション,神奈川県,川崎市幸区,2,尻手,walk,4,0,8,5,1K,1,25.5,1,1,96000,3764.705882352941,https://sumaity.com/chintai/kanagawa_prop/prop_286638119/
71,グレース川崎IV,マンション,神奈川県,川崎市幸区,2,尻手,walk,4,0,8,5,1K,1,25.5,1,1,96000,3764.705882352941,https://sumaity.com/chintai/kanagawa_prop/prop_286638151/
72,グレース川崎IV,マンション,神奈川県,川崎市幸区,2,尻手,walk,4,0,8,5,1K,1,25.5,1,0,96000,3764.705882352941,https://sumaity.com/chintai/kanagawa_prop/prop_286638125/
73,グレース川崎IV,マンション,神奈川県,川崎市幸区,2,尻手,walk,4,0,8,5,1K,1,25.5,1,1,96000,3764.705882352941,https://sumaity.com/chintai/kanagawa_prop/prop_286638121/
74,グレース川崎IV,マンション,神奈川県,川崎市幸区,2,尻手,walk,4,0,8,4,1K,1,25.5,1,1,95000,3725.4901960784314,https://sumaity.com/chintai/kanagawa_prop/prop_286638141/
75,マモール川崎２,マンション,神奈川県,川崎市幸区,2,川崎,walk,7,17,8,3,1K,1,23.27,0,1,80000,3437.9028792436616,https://sumaity.com/chintai/kanagawa_prop/prop_285865489/
76,ルーブル新川崎,マンション,神奈川県,川崎市幸区,3,鹿島田,walk,9,7,7,7,1K,1,21.0,0,1,83000,3952.3809523809523,https://sumaity.com/chintai/kanagawa_prop/prop_286848245/
77,ルーブル新川崎,マンション,神奈川県,川崎市幸区,3,鹿島田,walk,9,7,7,3,1K,1,21.0,1,0,80000,3809.5238095238096,https://sumaity.com/chintai/kanagawa_prop/prop_287127051/
78,ルーブル新川崎,マンション,神奈川県,川崎市幸区,3,鹿島田,walk,9,7,7,2,1K,1,21.0,1,0,77000,3666.6666666666665,https://sumaity.com/chintai/kanagawa_prop/prop_287301887/
79,ＫＪメゾン鹿島田,マンション,神奈川県,川崎市幸区,2,鹿島田,walk,4,17,7,2,1R,1,27.31,1,1,89000,3258.8795313072137,https://sumaity.com/chintai/kanagawa_prop/prop_286344661/
80,ドゥーエ新川崎,マンション,神奈川県,川崎市幸区,2,鹿島田,walk,2,10,7,4,1K,1,21.95,0,0,95000,4328.018223234624,https://sumaity.com/chintai/kanagawa_prop/prop_276925848/
81,ドゥーエ新川崎,マンション,神奈川県,川崎市幸区,2,鹿島田,walk,2,10,7,2,1K,1,21.95,1,1,92000,4191.343963553531,https://sumaity.com/chintai/kanagawa_prop/prop_285067967/
82,マモール川崎,マンション,神奈川県,川崎市幸区,3,川崎,walk,5,20,6,6,1K,1,21.18,1,0,80000,3777.148253068933,https://sumaity.com/chintai/kanagawa_prop/prop_263515026/
83,マモール川崎,マンション,神奈川県,川崎市幸区,3,川崎,walk,5,20,6,4,1K,1,20.16,1,1,80000,3968.253968253968,https://sumaity.com/chintai/kanagawa_prop/prop_262104090/
84,ハイネス新川崎,マンション,神奈川県,川崎市幸区,3,鹿島田,walk,8,17,6,5,1K,1,24.65,1,1,80000,3245.4361054766737,https://sumaity.com/chintai/kanagawa_prop/prop_265997194/
85,ハイネス新川崎,マンション,神奈川県,川崎市幸区,3,鹿島田,walk,8,17,6,5,1K,1,24.17,0,1,76000,3144.393876706661,https://sumaity.com/chintai/kanagawa_prop/prop_281119294/
86,ハイネス新川崎,マンション,神奈川県,川崎市幸区,3,鹿島田,walk,8,17,6,4,1K,1,24.65,1,1,77000,3123.732251521298,https://sumaity.com/chintai/kanagawa_prop/prop_285956419/
87,ハイネス新川崎,マンション,神奈川県,川崎市幸区,3,鹿島田,walk,8,17,6,3,1LDK,1,25.74,1,1,77000,2991.4529914529917,https://sumaity.com/chintai/kanagawa_prop/prop_277530053/
88,グランツ神,マンション,神奈川県,川崎市幸区,3,矢向,walk,10,28,6,5,1K,1,16.42,0,0,56000,3410.4750304506697,https://sumaity.com/chintai/kanagawa_prop/prop_285662637/
89,鹿島田ビル,マンション,神奈川県,川崎市幸区,2,鹿島田,walk,2,38,6,4,1K,1,22.37,0,1,60000,2682.1636119803306,https://sumaity.com/chintai/kanagawa_prop/prop_285594867/
90,レオナ１,マンション,神奈川県,川崎市幸区,2,鹿島田,walk,10,30,6,6,1LDK,1,47.5,1,0,92000,1936.842105263158,https://sumaity.com/chintai/kanagawa_prop/prop_280778533/
91,ヴェルト新川崎,マンション,神奈川県,川崎市幸区,2,新川崎,walk,2,13,6,1,1K,1,22.68,0,1,82000,3615.520282186949,https://sumaity.com/chintai/kanagawa_prop/prop_282363827/
92,グランドゥール日吉,マンション,神奈川県,川崎市幸区,3,新川崎,walk,13,18,6,4,1LDK,1,46.69,0,1,106000,2270.2934247162134,https://sumaity.com/chintai/kanagawa_prop/prop_278465406/
93,ミテッツァ矢向,マンション,神奈川県,川崎市幸区,3,矢向,walk,4,14,5,5,1R,1,25.42,0,0,87000,3422.501966955153,https://sumaity.com/chintai/kanagawa_prop/prop_279630854/
94,ミテッツァ矢向,マンション,神奈川県,川崎市幸区,3,矢向,walk,4,14,5,3,1LDK,1,39.6,0,1,109000,2752.525252525252,https://sumaity.com/chintai/kanagawa_prop/prop_288094087/
95,ミテッツァ矢向,マンション,神奈川県,川崎市幸区,3,矢向,walk,4,14,5,1,1R,1,25.61,0,0,82000,3201.8742678641156,https://sumaity.com/chintai/kanagawa_prop/prop_278474788/
96,ミテッツァ矢向,マンション,神奈川県,川崎市幸区,3,矢向,walk,4,14,5,1,1R,1,26.12,0,1,84000,3215.9264931087287,https://sumaity.com/chintai/kanagawa_prop/prop_278945389/
97,AGATHA,マンション,神奈川県,川崎市幸区,2,鹿島田,walk,8,14,5,5,1K,1,32.75,1,0,93000,2839.6946564885498,https://sumaity.com/chintai/kanagawa_prop/prop_281057936/
98,AGATHA,マンション,神奈川県,川崎市幸区,2,鹿島田,walk,8,14,5,5,1K,1,33.45,1,0,93000,2780.269058295964,https://sumaity.com/chintai/kanagawa_prop/prop_281057933/
99,AGATHA,マンション,神奈川県,川崎市幸区,2,鹿島田,walk,8,14,5,5,1K,1,33.45,1,0,93000,2780.269058295964,https://sumaity.com/chintai/kanagawa_prop/prop_281057935/
100,アクセスマスダ,マンション,神奈川県,川崎市幸区,3,矢向,walk,15,25,5,1,1DK,1,35.0,1,1,83000,2371.4285714285716,https://sumaity.com/chintai/kanagawa_prop/prop_200329912/
101,アクセスマスダ,マンション,神奈川県,川崎市幸区,3,矢向,walk,15,25,5,1,1DK,1,35.0,1,0,83000,2371.4285714285716,https://sumaity.com/chintai/kanagawa_prop/prop_286312077/
102,エクセルピア鹿島田,マンション,神奈川県,川崎市幸区,2,鹿島田,walk,6,27,5,3,1DK,1,32.4,0,1,82000,2530.864197530864,https://sumaity.com/chintai/kanagawa_prop/prop_276767743/
103,ベルポアン矢向,マンション,神奈川県,川崎市幸区,3,矢向,walk,4,32,4,1,1K,1,17.57,1,0,58000,3301.081388730791,https://sumaity.com/chintai/kanagawa_prop/prop_256467297/
104,第２鵬地ビル,マンション,神奈川県,横浜市鶴見区,1,矢向,walk,2,12,4,3,1K,1,24.28,1,0,73000,3006.5897858319604,https://sumaity.com/chintai/kanagawa_prop/prop_282459897/
105,ロイアル・ウィステリア・日吉,マンション,神奈川県,川崎市幸区,2,新川崎,walk,18,15,4,3,1K,1,27.37,1,0,69000,2521.0084033613443,https://sumaity.com/chintai/kanagawa_prop/prop_281766577/
106,VILLA510III,マンション,神奈川県,川崎市幸区,2,平間,walk,3,23,4,4,1K,1,22.14,0,0,70000,3161.698283649503,https://sumaity.com/chintai/kanagawa_prop/prop_280228353/
107,コート・オデッセイ,マンション,神奈川県,川崎市幸区,2,鹿島田,walk,12,25,4,3,1K,1,26.01,1,0,73000,2806.6128412149174,https://sumaity.com/chintai/kanagawa_prop/prop_279409519/
108,鵬地ビル,マンション,神奈川県,横浜市鶴見区,1,矢向,walk,1,24,4,3,1K,1,16.74,0,0,55000,3285.5436081242538,https://sumaity.com/chintai/kanagawa_prop/prop_241146696/
109,フラット末広,アパート,神奈川県,川崎市中原区,3,鹿島田,walk,11,11,3,3,1LDK,1,36.37,0,1,100000,2749.5188342040146,https://sumaity.com/chintai/kanagawa_prop/prop_287481627/
110,KAMATA No.6,マンション,神奈川県,川崎市中原区,2,向河原,walk,10,27,3,1,1K,1,18.0,0,0,52000,2888.8888888888887,https://sumaity.com/chintai/kanagawa_prop/prop_287410989/
111,Field Lagoon 田尻町,アパート,神奈川県,川崎市中原区,1,平間,walk,1,0,3,3,1R,1,17.49,1,1,75000,4288.164665523156,https://sumaity.com/chintai/kanagawa_prop/prop_282491133/
112,Field Lagoon 田尻町,アパート,神奈川県,川崎市中原区,1,平間,walk,1,0,3,2,1R,1,16.56,1,0,75000,4528.985507246377,https://sumaity.com/chintai/kanagawa_prop/prop_280756750/
113,ＭＡＳＡＳＱＵＡＲＥ,マンション,神奈川県,川崎市川崎区,3,川崎,bus,13,14,3,2,1K,1,24.0,1,0,70000,2916.6666666666665,https://sumaity.com/chintai/kanagawa_prop/prop_286275511/
114,ＭＡＳＡＳＱＵＡＲＥ,マンション,神奈川県,川崎市川崎区,3,川崎,bus,13,14,3,2,1K,1,24.0,1,0,70000,2916.6666666666665,https://sumaity.com/chintai/kanagawa_prop/prop_259225007/
115,ソレイユ御幸,マンション,神奈川県,川崎市幸区,3,川崎,bus,9,12,3,3,1K,1,24.79,1,0,79000,3186.7688584106495,https://sumaity.com/chintai/kanagawa_prop/prop_262244726/
116,ソレイユ御幸,マンション,神奈川県,川崎市幸区,3,川崎,bus,9,12,3,3,1K,1,24.79,1,0,79000,3186.7688584106495,https://sumaity.com/chintai/kanagawa_prop/prop_287061507/
117,プチ５小室,マンション,神奈川県,横浜市鶴見区,2,尻手,walk,1,19,3,3,1K,1,21.8,1,0,68000,3119.2660550458713,https://sumaity.com/chintai/kanagawa_prop/prop_286638137/
118,グリーンジュネス,マンション,神奈川県,川崎市幸区,2,鹿島田,walk,7,18,3,2,1K,1,23.1,1,1,75000,3246.7532467532465,https://sumaity.com/chintai/kanagawa_prop/prop_285594847/
119,ウィンディー多摩川,マンション,神奈川県,川崎市中原区,1,平間,walk,14,13,3,2,1K,1,25.02,1,1,71200,2845.7234212629896,https://sumaity.com/chintai/kanagawa_prop/prop_285594845/
120,メゾン原田,マンション,神奈川県,川崎市中原区,2,鹿島田,walk,9,32,3,2,1LDK,1,32.4,1,1,65000,2006.172839506173,https://sumaity.com/chintai/kanagawa_prop/prop_281616241/
121,サウスウィンV,マンション,神奈川県,横浜市鶴見区,2,矢向,walk,4,17,3,2,1LDK,1,40.27,0,1,103000,2557.735286814005,https://sumaity.com/chintai/kanagawa_prop/prop_283998551/
122,ポンテ・ネロ,アパート,神奈川県,川崎市幸区,2,矢向,walk,23,0,3,1,1LDK,1,37.0,1,0,100000,2702.7027027027025,https://sumaity.com/chintai/kanagawa_prop/prop_279294622/
123,ヴェル・フルリール,アパート,神奈川県,川崎市中原区,1,平間,walk,1,2,3,1,1K,1,29.19,1,1,93000,3186.022610483042,https://sumaity.com/chintai/kanagawa_prop/prop_274252998/
124,ヴェル・フルリール,アパート,神奈川県,川崎市中原区,1,平間,walk,1,2,3,1,1K,1,27.74,1,1,92000,3316.5104542177364,https://sumaity.com/chintai/kanagawa_prop/prop_274253008/
125,川崎ビル,アパート,神奈川県,川崎市幸区,3,矢向,walk,9,46,3,3,1LDK,1,31.0,1,1,80000,2580.6451612903224,https://sumaity.com/chintai/kanagawa_prop/prop_285467409/
126,ボナールレインボー,マンション,神奈川県,横浜市鶴見区,1,矢向,walk,2,17,3,1,1K,1,27.0,1,0,72000,2666.6666666666665,https://sumaity.com/chintai/kanagawa_prop/prop_251259558/
127,PALECE SUGANO,マンション,神奈川県,川崎市幸区,2,矢向,walk,12,29,3,2,1K,1,15.63,0,0,55000,3518.8739603326935,https://sumaity.com/chintai/kanagawa_prop/prop_286146933/
128,PALECE SUGANO,マンション,神奈川県,川崎市幸区,2,矢向,walk,12,29,3,2,1K,1,15.63,0,0,55000,3518.8739603326935,https://sumaity.com/chintai/kanagawa_prop/prop_286146927/
129,ラングラッセン,マンション,神奈川県,川崎市幸区,1,矢向,walk,9,13,3,2,1K,1,28.69,1,0,87000,3032.4154757755314,https://sumaity.com/chintai/kanagawa_prop/prop_283416949/
130,アルモニ,マンション,神奈川県,川崎市幸区,3,新川崎,walk,5,18,3,3,1K,1,25.9,1,0,85000,3281.853281853282,https://sumaity.com/chintai/kanagawa_prop/prop_284815031/
131,アルモニ,マンション,神奈川県,川崎市幸区,3,新川崎,walk,5,18,3,1,1K,1,25.9,1,0,84000,3243.2432432432433,https://sumaity.com/chintai/kanagawa_prop/prop_285190165/
132,ルミエール矢向,マンション,神奈川県,横浜市鶴見区,1,矢向,walk,2,17,3,3,1K,1,23.0,1,1,67000,2913.0434782608695,https://sumaity.com/chintai/kanagawa_prop/prop_284840977/
133,ルミエール矢向,マンション,神奈川県,横浜市鶴見区,1,矢向,walk,2,17,3,2,1K,1,23.0,1,1,65000,2826.086956521739,https://sumaity.com/chintai/kanagawa_prop/prop_276961786/
134,アンビシャス２１新川崎,マンション,神奈川県,川崎市幸区,3,鹿島田,walk,12,13,3,1,1K,1,19.87,1,1,61000,3069.954705586311,https://sumaity.com/chintai/kanagawa_prop/prop_264023853/
135,アンビシャス２１新川崎,マンション,神奈川県,川崎市幸区,3,鹿島田,walk,12,13,3,1,1K,1,19.87,1,0,61000,3069.954705586311,https://sumaity.com/chintai/kanagawa_prop/prop_253843541/
